instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,count
296,23/10/2011,4,0,10,0,0,0,1,17.29,21.12,0.74,0.1,1619,2762,4381
297,24/10/2011,4,0,10,0,1,1,1,19,22.85,0.77,0.12,699,3488,4187
298,25/10/2011,4,0,10,0,2,1,1,19.34,23.17,0.62,0.17,695,3992,4687
299,26/10/2011,4,0,10,0,3,1,2,19.85,23.64,0.72,0.15,404,3490,3894
300,27/10/2011,4,0,10,0,4,1,2,19.27,22.85,0.81,0.2,240,2419,2659
301,28/10/2011,4,0,10,0,5,1,2,13.56,15.94,0.59,0.23,456,3291,3747
302,29/10/2011,4,0,10,0,6,0,3,10.42,11.4,0.88,0.35,57,570,627
303,30/10/2011,4,0,10,0,0,0,1,13.09,16.07,0.62,0.18,885,2446,3331
304,31/10/2011,4,0,10,0,1,1,1,13.94,17.8,0.7,0.11,362,3307,3669
305,01/11/2011,4,0,11,0,2,1,1,16.43,19.85,0.68,0.14,410,3658,4068
306,02/11/2011,4,0,11,0,3,1,1,15.48,19.51,0.72,0.08,370,3816,4186
307,03/11/2011,4,0,11,0,4,1,1,16.74,20.3,0.7,0.14,318,3656,3974
308,04/11/2011,4,0,11,0,5,1,2,16.54,20.17,0.62,0.27,470,3576,4046
309,05/11/2011,4,0,11,0,6,0,1,13.39,16.19,0.52,0.19,1156,2770,3926
310,06/11/2011,4,0,11,0,0,0,1,14.28,18.12,0.73,0.09,952,2697,3649
311,07/11/2011,4,0,11,0,1,1,1,16.2,20.04,0.76,0.06,373,3662,4035
312,08/11/2011,4,0,11,0,2,1,1,16.74,20.61,0.72,0.07,376,3829,4205
313,09/11/2011,4,0,11,0,3,1,1,16.4,20.45,0.76,0.06,305,3804,4109
314,10/11/2011,4,0,11,0,4,1,2,15.58,18.69,0.81,0.19,190,2743,2933
315,11/11/2011,4,0,11,1,5,0,1,13.29,15.34,0.45,0.31,440,2928,3368
316,12/11/2011,4,0,11,0,6,0,1,14.62,17.9,0.55,0.21,1275,2792,4067
317,13/11/2011,4,0,11,0,0,0,1,18.07,21.53,0.46,0.28,1004,2713,3717
318,14/11/2011,4,0,11,0,1,1,1,21.73,26.23,0.59,0.31,595,3891,4486
319,15/11/2011,4,0,11,0,2,1,2,21.73,25.38,0.69,0.2,449,3746,4195
320,16/11/2011,4,0,11,0,3,1,3,18.72,22.6,0.93,0.14,145,1672,1817
321,17/11/2011,4,0,11,0,4,1,2,14.01,16.16,0.58,0.31,139,2914,3053
322,18/11/2011,4,0,11,0,5,1,1,11.24,13.64,0.41,0.17,245,3147,3392
323,19/11/2011,4,0,11,0,6,0,1,13.5,16.22,0.5,0.22,943,2720,3663
324,20/11/2011,4,0,11,0,0,0,2,19,22.85,0.68,0.19,787,2733,3520
325,21/11/2011,4,0,11,0,1,1,3,18.35,22.25,0.91,0.14,220,2545,2765
326,22/11/2011,4,0,11,0,2,1,3,17.08,21.08,0.96,0.12,69,1538,1607
327,23/11/2011,4,0,11,0,3,1,2,18.07,21.53,0.76,0.34,112,2454,2566
328,24/11/2011,4,0,11,1,4,0,1,15.31,18.62,0.55,0.17,560,935,1495
329,25/11/2011,4,0,11,0,5,1,1,15.38,19.03,0.64,0.1,1095,1697,2792
330,26/11/2011,4,0,11,0,6,0,1,15.41,19.25,0.68,0.07,1249,1819,3068
331,27/11/2011,4,0,11,0,0,0,1,18.83,22.79,0.7,0.21,810,2261,3071
332,28/11/2011,4,0,11,0,1,1,1,20.64,24.51,0.74,0.14,253,3614,3867
333,29/11/2011,4,0,11,0,2,1,2,18.79,22.57,0.83,0.26,96,2818,2914
334,30/11/2011,4,0,11,0,3,1,1,13.32,15.56,0.61,0.27,188,3425,3613
335,01/12/2011,4,0,12,0,4,1,1,12.81,15.28,0.52,0.22,182,3545,3727
336,02/12/2011,4,0,12,0,5,1,1,12.88,16.57,0.63,0.1,268,3672,3940
337,03/12/2011,4,0,12,0,6,0,1,12.27,15.53,0.61,0.1,706,2908,3614
338,04/12/2011,4,0,12,0,0,0,1,13.56,17.46,0.78,0.08,634,2851,3485
339,05/12/2011,4,0,12,0,1,1,2,15.82,19.7,0.83,0.06,233,3578,3811
340,06/12/2011,4,0,12,0,2,1,3,18.96,22.82,0.95,0.23,126,2468,2594
341,07/12/2011,4,0,12,0,3,1,3,16.81,20.01,0.97,0.27,50,655,705
342,08/12/2011,4,0,12,0,4,1,1,10.9,12.85,0.58,0.24,150,3172,3322
343,09/12/2011,4,0,12,0,5,1,1,11.92,15.88,0.7,0.08,261,3359,3620
344,10/12/2011,4,0,12,0,6,0,1,11.28,13.32,0.51,0.23,502,2688,3190
345,11/12/2011,4,0,12,0,0,0,1,9.05,12.66,0.49,0.07,377,2366,2743
346,12/12/2011,4,0,12,0,1,1,1,9.77,13.51,0.67,0.06,143,3167,3310
347,13/12/2011,4,0,12,0,2,1,1,11.58,15.06,0.59,0.14,155,3368,3523
348,14/12/2011,4,0,12,0,3,1,2,13.02,16.92,0.66,0.06,178,3562,3740
349,15/12/2011,4,0,12,0,4,1,2,17.32,20.61,0.63,0.27,181,3528,3709
350,16/12/2011,4,0,12,0,5,1,2,15.38,17.99,0.5,0.26,178,3399,3577
351,17/12/2011,4,0,12,0,6,0,2,10.59,12.47,0.56,0.24,275,2464,2739
352,18/12/2011,4,0,12,0,0,0,1,9.77,12.28,0.59,0.17,220,2211,2431
353,19/12/2011,4,0,12,0,1,1,1,11.34,14.05,0.64,0.17,260,3143,3403
354,20/12/2011,4,0,12,0,2,1,2,15.82,19.82,0.6,0.06,216,3534,3750
355,21/12/2011,1,0,12,0,3,1,2,17.56,21.4,0.86,0.22,107,2553,2660
356,22/12/2011,1,0,12,0,4,1,2,17.36,21.31,0.76,0.05,227,2841,3068
357,23/12/2011,1,0,12,0,5,1,1,15.31,18.88,0.69,0.27,163,2046,2209
358,24/12/2011,1,0,12,0,6,0,1,12.4,14.96,0.54,0.19,155,856,1011
359,25/12/2011,1,0,12,0,0,0,1,11.27,14,0.68,0.16,303,451,754
360,26/12/2011,1,0,12,1,1,0,1,13.19,15.78,0.51,0.24,430,887,1317
361,27/12/2011,1,0,12,0,2,1,2,13.32,16.38,0.76,0.19,103,1059,1162
362,28/12/2011,1,0,12,0,3,1,1,12.26,14,0.5,0.29,255,2047,2302
363,29/12/2011,1,0,12,0,4,1,1,10.18,13.19,0.57,0.12,254,2169,2423
364,30/12/2011,1,0,12,0,5,1,1,12.78,15.94,0.64,0.13,491,2508,2999
365,31/12/2011,1,0,12,0,6,0,1,16.81,20.71,0.62,0.22,665,1820,2485
366,01/01/2012,1,1,1,0,0,0,1,15.17,18.78,0.69,0.19,686,1608,2294
367,02/01/2012,1,1,1,1,1,0,1,11.19,12.62,0.38,0.33,244,1707,1951
368,03/01/2012,1,1,1,0,2,1,1,6.15,6.31,0.44,0.37,89,2147,2236
369,04/01/2012,1,1,1,0,3,1,2,4.41,5.97,0.41,0.18,95,2273,2368
370,05/01/2012,1,1,1,0,4,1,1,10.9,13.92,0.52,0.13,140,3132,3272
371,06/01/2012,1,1,1,0,5,1,1,13.7,17.01,0.54,0.17,307,3791,4098
372,07/01/2012,1,1,1,0,6,0,1,16.13,19.54,0.53,0.17,1070,3451,4521
373,08/01/2012,1,1,1,0,0,0,1,13.84,17.01,0.46,0.19,599,2826,3425
374,09/01/2012,1,1,1,0,1,1,2,9.19,12.37,0.7,0.1,106,2270,2376
375,10/01/2012,1,1,1,0,2,1,1,12.66,15.94,0.65,0.19,173,3425,3598
376,11/01/2012,1,1,1,0,3,1,2,11.24,14.14,0.85,0.13,92,2085,2177
377,12/01/2012,1,1,1,0,4,1,2,15.68,19.1,0.8,0.18,269,3828,4097
378,13/01/2012,1,1,1,0,5,1,1,11.24,12.47,0.51,0.38,174,3040,3214
379,14/01/2012,1,1,1,0,6,0,1,7.38,9.15,0.46,0.19,333,2160,2493
380,15/01/2012,1,1,1,0,0,0,1,6.83,8.08,0.42,0.25,284,2027,2311
381,16/01/2012,1,1,1,1,1,0,1,7.79,9.53,0.52,0.23,217,2081,2298
382,17/01/2012,1,1,1,0,2,1,2,15.29,18.21,0.72,0.35,127,2808,2935
383,18/01/2012,1,1,1,0,3,1,1,12.44,13.76,0.44,0.42,109,3267,3376
384,19/01/2012,1,1,1,0,4,1,1,7.79,9.5,0.5,0.22,130,3162,3292
385,20/01/2012,1,1,1,0,5,1,2,8.92,11.05,0.45,0.2,115,3048,3163
386,21/01/2012,1,1,1,0,6,0,2,7.11,8.74,0.83,0.22,67,1234,1301
387,22/01/2012,1,1,1,0,0,0,2,6.66,8.11,0.8,0.2,196,1781,1977
388,23/01/2012,1,1,1,0,1,1,2,8.95,12.15,0.91,0.11,145,2287,2432
389,24/01/2012,1,1,1,0,2,1,1,14.04,17.46,0.84,0.12,439,3900,4339
390,25/01/2012,1,1,1,0,3,1,1,12.06,14.74,0.64,0.16,467,3803,4270
391,26/01/2012,1,1,1,0,4,1,2,14.01,17.8,0.77,0.07,244,3831,4075
392,27/01/2012,1,1,1,0,5,1,2,17.42,20.77,0.74,0.34,269,3187,3456
393,28/01/2012,1,1,1,0,6,0,1,12.95,16.32,0.54,0.21,775,3248,4023
394,29/01/2012,1,1,1,0,0,0,1,11.58,13.64,0.31,0.24,558,2685,3243
395,30/01/2012,1,1,1,0,1,1,1,11.04,13.13,0.4,0.22,126,3498,3624
396,31/01/2012,1,1,1,0,2,1,1,15.99,19.07,0.42,0.26,324,4185,4509
397,01/02/2012,1,1,2,0,3,1,1,19.24,23.33,0.51,0.19,304,4275,4579
398,02/02/2012,1,1,2,0,4,1,2,16.37,19.95,0.67,0.19,190,3571,3761
399,03/02/2012,1,1,2,0,5,1,1,12.85,15.47,0.53,0.18,310,3841,4151
400,04/02/2012,1,1,2,0,6,0,2,10.83,13.64,0.78,0.12,384,2448,2832
401,05/02/2012,1,1,2,0,0,0,2,10.9,13.23,0.69,0.18,318,2629,2947
402,06/02/2012,1,1,2,0,1,1,1,11.59,14.82,0.62,0.15,206,3578,3784
403,07/02/2012,1,1,2,0,2,1,1,14.52,18.06,0.5,0.15,199,4176,4375
404,08/02/2012,1,1,2,0,3,1,2,10.52,13.32,0.72,0.13,109,2693,2802
405,09/02/2012,1,1,2,0,4,1,1,10.86,13.1,0.56,0.19,163,3667,3830
406,10/02/2012,1,1,2,0,5,1,2,11.51,14.68,0.54,0.12,227,3604,3831
407,11/02/2012,1,1,2,0,6,0,3,9.19,10.54,0.73,0.29,192,1977,2169
408,12/02/2012,1,1,2,0,0,0,1,5.23,5.08,0.46,0.41,73,1456,1529
409,13/02/2012,1,1,2,0,1,1,1,9.12,11.4,0.41,0.17,94,3328,3422
410,14/02/2012,1,1,2,0,2,1,2,13.09,16.7,0.51,0.14,135,3787,3922
411,15/02/2012,1,1,2,0,3,1,1,14.28,17.58,0.53,0.18,141,4028,4169
412,16/02/2012,1,1,2,0,4,1,2,12.98,16.51,0.75,0.09,74,2931,3005
413,17/02/2012,1,1,2,0,5,1,1,14.08,17.58,0.63,0.21,349,3805,4154
414,18/02/2012,1,1,2,0,6,0,1,14.21,17.77,0.53,0.19,1435,2883,4318
415,19/02/2012,1,1,2,0,0,0,2,11.48,13.29,0.52,0.25,618,2071,2689
416,20/02/2012,1,1,2,1,1,0,1,11.48,13.67,0.51,0.23,502,2627,3129
417,21/02/2012,1,1,2,0,2,1,1,11.8,14.76,0.59,0.21,163,3614,3777
418,22/02/2012,1,1,2,0,3,1,1,16.23,19.63,0.57,0.23,394,4379,4773
419,23/02/2012,1,1,2,0,4,1,1,18.62,22.22,0.55,0.19,516,4546,5062
420,24/02/2012,1,1,2,0,5,1,2,16.71,20.55,0.74,0.24,246,3241,3487
421,25/02/2012,1,1,2,0,6,0,1,11.92,12.78,0.4,0.42,317,2415,2732
422,26/02/2012,1,1,2,0,0,0,1,11.45,13.42,0.41,0.21,515,2874,3389
423,27/02/2012,1,1,2,0,1,1,1,15.03,17.9,0.49,0.27,253,4069,4322
424,28/02/2012,1,1,2,0,2,1,1,14.73,17.68,0.4,0.19,229,4134,4363
425,29/02/2012,1,1,2,0,3,1,2,14.12,17.42,0.8,0.18,65,1769,1834
426,01/03/2012,1,1,3,0,4,1,1,19.92,23.77,0.62,0.23,325,4665,4990
427,02/03/2012,1,1,3,0,5,1,2,14.49,17.99,0.66,0.14,246,2948,3194
428,03/03/2012,1,1,3,0,6,0,2,16.98,20.67,0.62,0.16,956,3110,4066
429,04/03/2012,1,1,3,0,0,0,1,13.36,15.15,0.4,0.33,710,2713,3423
430,05/03/2012,1,1,3,0,1,1,1,9.98,12.06,0.51,0.23,203,3130,3333
431,06/03/2012,1,1,3,0,2,1,1,10.59,12.75,0.46,0.2,221,3735,3956
432,07/03/2012,1,1,3,0,3,1,1,16.57,19.26,0.51,0.35,432,4484,4916
433,08/03/2012,1,1,3,0,4,1,1,21.63,26.23,0.57,0.44,486,4896,5382
434,09/03/2012,1,1,3,0,5,1,2,16.84,19.85,0.41,0.41,447,4122,4569
435,10/03/2012,1,1,3,0,6,0,1,11.79,13.89,0.35,0.23,968,3150,4118
436,11/03/2012,1,1,3,0,0,0,1,14.83,17.98,0.48,0.22,1658,3253,4911
437,12/03/2012,1,1,3,0,1,1,1,19.13,22.98,0.49,0.21,838,4460,5298
438,13/03/2012,1,1,3,0,2,1,1,23.16,27.15,0.62,0.24,762,5085,5847
439,14/03/2012,1,1,3,0,3,1,1,23.47,27.43,0.51,0.12,997,5315,6312
440,15/03/2012,1,1,3,0,4,1,1,22.86,26.64,0.58,0.15,1005,5187,6192
441,16/03/2012,1,1,3,0,5,1,2,17.87,21.81,0.84,0.11,548,3830,4378
442,17/03/2012,1,1,3,0,6,0,2,21.08,25.25,0.76,0.11,3155,4681,7836
443,18/03/2012,1,1,3,0,0,0,2,19.37,23.2,0.81,0.13,2207,3685,5892
444,19/03/2012,1,1,3,0,1,1,1,22.35,26.64,0.73,0.16,982,5171,6153
445,20/03/2012,1,1,3,0,2,1,1,22.99,26.93,0.81,0.12,1051,5042,6093
446,21/03/2012,2,1,3,0,3,1,2,21.8,25.66,0.82,0.09,1122,5108,6230
447,22/03/2012,2,1,3,0,4,1,1,22.72,26.58,0.83,0.12,1334,5537,6871
448,23/03/2012,2,1,3,0,5,1,2,24.67,28.5,0.69,0.12,2469,5893,8362
449,24/03/2012,2,1,3,0,6,0,2,20.6,24.34,0.89,0.19,1033,2339,3372
450,25/03/2012,2,1,3,0,0,0,2,17.94,21.87,0.88,0.22,1532,3464,4996
451,26/03/2012,2,1,3,0,1,1,1,18.28,21.94,0.48,0.39,795,4763,5558
452,27/03/2012,2,1,3,0,2,1,1,13.26,15.78,0.29,0.19,531,4571,5102
453,28/03/2012,2,1,3,0,3,1,1,19.85,23.55,0.48,0.29,674,5024,5698
454,29/03/2012,2,1,3,0,4,1,1,20.26,24.12,0.44,0.32,834,5299,6133
455,30/03/2012,2,1,3,0,5,1,2,15.17,18.78,0.58,0.14,796,4663,5459
456,31/03/2012,2,1,3,0,6,0,2,17.39,21.09,0.74,0.25,2301,3934,6235
457,01/04/2012,2,1,4,0,0,0,2,17.46,20.86,0.68,0.17,2347,3694,6041
458,02/04/2012,2,1,4,0,1,1,1,17.79,21.38,0.5,0.31,1208,4728,5936
459,03/04/2012,2,1,4,0,2,1,1,19.13,23.07,0.4,0.1,1348,5424,6772
460,04/04/2012,2,1,4,0,3,1,1,22.21,26.67,0.47,0.18,1058,5378,6436
461,05/04/2012,2,1,4,0,4,1,1,17.84,21.56,0.37,0.22,1192,5265,6457
462,06/04/2012,2,1,4,0,5,1,1,16.54,19.54,0.38,0.3,1807,4653,6460
463,07/04/2012,2,1,4,0,6,0,1,17.94,21.31,0.25,0.27,3252,3605,6857
464,08/04/2012,2,1,4,0,0,0,1,20.5,24.62,0.28,0.23,2230,2939,5169
465,09/04/2012,2,1,4,0,1,1,1,20.06,23.83,0.32,0.36,905,4680,5585
466,10/04/2012,2,1,4,0,2,1,1,18.31,21.81,0.44,0.25,819,5099,5918
467,11/04/2012,2,1,4,0,3,1,1,14.3,16.86,0.47,0.3,482,4380,4862
468,12/04/2012,2,1,4,0,4,1,1,16.3,19.38,0.47,0.29,663,4746,5409
469,13/04/2012,2,1,4,0,5,1,1,18.14,21.59,0.41,0.16,1252,5146,6398
470,14/04/2012,2,1,4,0,6,0,1,20.29,24.4,0.5,0.19,2795,4665,7460
471,15/04/2012,2,1,4,0,0,0,1,24.87,28.69,0.51,0.23,2846,4286,7132
472,16/04/2012,2,1,4,1,1,0,1,27.23,30.75,0.56,0.28,1198,5172,6370
473,17/04/2012,2,1,4,0,2,1,1,24.94,29.92,0.39,0.27,989,5702,6691
474,18/04/2012,2,1,4,0,3,1,2,19,22.85,0.57,0.17,347,4020,4367
475,19/04/2012,2,1,4,0,4,1,1,20.43,24.65,0.61,0.07,846,5719,6565
476,20/04/2012,2,1,4,0,5,1,1,21.59,25.79,0.69,0.15,1340,5950,7290
477,21/04/2012,2,1,4,0,6,0,1,23.37,27.15,0.68,0.28,2541,4083,6624
478,22/04/2012,2,1,4,0,0,0,3,16.26,19.48,0.84,0.34,120,907,1027
479,23/04/2012,2,1,4,0,1,1,2,13.19,15.06,0.77,0.3,195,3019,3214
480,24/04/2012,2,1,4,0,2,1,1,16.95,20.26,0.45,0.25,518,5115,5633
481,25/04/2012,2,1,4,0,3,1,1,19.54,23.52,0.43,0.12,655,5541,6196
482,26/04/2012,2,1,4,0,4,1,2,20.43,24.18,0.76,0.18,475,4551,5026
483,27/04/2012,2,1,4,0,5,1,1,18.76,22.63,0.4,0.35,1014,5219,6233
484,28/04/2012,2,1,4,0,6,0,2,15.44,18.88,0.49,0.13,1120,3100,4220
485,29/04/2012,2,1,4,0,0,0,1,18.79,22.51,0.59,0.12,2229,4075,6304
486,30/04/2012,2,1,4,0,1,1,2,19.03,22.88,0.57,0.17,665,4907,5572
487,01/05/2012,2,1,5,0,2,1,2,25.15,28.85,0.66,0.16,653,5087,5740
488,02/05/2012,2,1,5,0,3,1,1,23.13,26.89,0.8,0.14,667,5502,6169
489,03/05/2012,2,1,5,0,4,1,2,22.96,26.86,0.77,0.13,764,5657,6421
490,04/05/2012,2,1,5,0,5,1,1,25.73,29.55,0.74,0.16,1069,5227,6296
491,05/05/2012,2,1,5,0,6,0,2,25.49,29.23,0.76,0.15,2496,4387,6883
492,06/05/2012,2,1,5,0,0,0,2,23.06,27.34,0.74,0.15,2135,4224,6359
493,07/05/2012,2,1,5,0,1,1,2,22.04,26.36,0.66,0.23,1008,5265,6273
494,08/05/2012,2,1,5,0,2,1,2,23.85,27.87,0.69,0.3,738,4990,5728
495,09/05/2012,2,1,5,0,3,1,2,23.58,27.65,0.74,0.22,620,4097,4717
496,10/05/2012,2,1,5,0,4,1,1,20.74,24.59,0.55,0.31,1026,5546,6572
497,11/05/2012,2,1,5,0,5,1,1,21.87,26.04,0.36,0.24,1319,5711,7030
498,12/05/2012,2,1,5,0,6,0,1,23.13,27.24,0.48,0.12,2622,4807,7429
499,13/05/2012,2,1,5,0,0,0,1,25.11,29.26,0.58,0.23,2172,3946,6118
500,14/05/2012,2,1,5,0,1,1,2,23.51,27.5,0.79,0.21,342,2501,2843
501,15/05/2012,2,1,5,0,2,1,2,25.08,28.82,0.79,0.15,625,4490,5115
502,16/05/2012,2,1,5,0,3,1,1,26.1,29.8,0.7,0.12,991,6433,7424
503,17/05/2012,2,1,5,0,4,1,1,24.33,28.63,0.52,0.23,1242,6142,7384
504,18/05/2012,2,1,5,0,5,1,1,23.13,27.56,0.52,0.14,1521,6118,7639
505,19/05/2012,2,1,5,0,6,0,1,24.6,28.35,0.46,0.08,3410,4884,8294
506,20/05/2012,2,1,5,0,0,0,1,25.45,29.2,0.53,0.25,2704,4425,7129
507,21/05/2012,2,1,5,0,1,1,2,24.53,28.28,0.81,0.23,630,3729,4359
508,22/05/2012,2,1,5,0,2,1,2,25.22,29.04,0.77,0.12,819,5254,6073
509,23/05/2012,2,1,5,0,3,1,2,25.49,29.23,0.77,0.1,766,4494,5260
510,24/05/2012,2,1,5,0,4,1,1,26.86,30.34,0.72,0.17,1059,5711,6770
511,25/05/2012,2,1,5,0,5,1,1,27.88,31.38,0.75,0.14,1417,5317,6734
512,26/05/2012,2,1,5,0,6,0,1,28.39,32.13,0.73,0.2,2855,3681,6536
513,27/05/2012,2,1,5,0,0,0,1,28.29,32.07,0.7,0.22,3283,3308,6591
514,28/05/2012,2,1,5,1,1,0,1,29.21,33.97,0.68,0.2,2557,3486,6043
515,29/05/2012,2,1,5,0,2,1,1,29.62,33.65,0.68,0.3,880,4863,5743
516,30/05/2012,2,1,5,0,3,1,2,26.92,30.56,0.67,0.13,745,6110,6855
517,31/05/2012,2,1,5,0,4,1,1,27.88,31.57,0.49,0.2,1100,6238,7338
518,01/06/2012,2,1,6,0,5,1,2,26.82,30.4,0.76,0.24,533,3594,4127
519,02/06/2012,2,1,6,0,6,0,1,23.92,28.31,0.55,0.19,2795,5325,8120
520,03/06/2012,2,1,6,0,0,0,1,24.7,28.76,0.49,0.18,2494,5147,7641
521,04/06/2012,2,1,6,0,1,1,1,24.5,28.91,0.49,0.28,1071,5927,6998
522,05/06/2012,2,1,6,0,2,1,2,22.17,26.29,0.61,0.21,968,6033,7001
523,06/06/2012,2,1,6,0,3,1,1,22.72,27.11,0.61,0.08,1027,6028,7055
524,07/06/2012,2,1,6,0,4,1,1,24.7,28.47,0.57,0.16,1038,6456,7494
525,08/06/2012,2,1,6,0,5,1,1,26.62,29.89,0.47,0.18,1488,6248,7736
526,09/06/2012,2,1,6,0,6,0,1,29.14,32.42,0.44,0.14,2708,4790,7498
527,10/06/2012,2,1,6,0,0,0,1,29.79,33.18,0.54,0.13,2224,4374,6598
528,11/06/2012,2,1,6,0,1,1,2,29.55,32.99,0.59,0.21,1017,5647,6664
529,12/06/2012,2,1,6,0,2,1,2,26.79,29.89,0.83,0.21,477,4495,4972
530,13/06/2012,2,1,6,0,3,1,1,26.89,30.56,0.58,0.34,1173,6248,7421
531,14/06/2012,2,1,6,0,4,1,1,26.58,31.22,0.57,0.25,1180,6183,7363
532,15/06/2012,2,1,6,0,5,1,1,26.21,29.99,0.59,0.18,1563,6102,7665
533,16/06/2012,2,1,6,0,6,0,1,25.9,29.74,0.5,0.17,2963,4739,7702
534,17/06/2012,2,1,6,0,0,0,1,24.29,28.6,0.6,0.14,2634,4344,6978
535,18/06/2012,2,1,6,0,1,1,2,23.3,27.24,0.78,0.17,653,4446,5099
536,19/06/2012,2,1,6,0,2,1,1,28.22,32.73,0.69,0.15,968,5857,6825
537,20/06/2012,2,1,6,0,3,1,1,32.08,36.05,0.59,0.11,872,5339,6211
538,21/06/2012,3,1,6,0,4,1,1,33.04,37.63,0.57,0.12,778,5127,5905
539,22/06/2012,3,1,6,0,5,1,1,31.88,36.21,0.57,0.18,964,4859,5823
540,23/06/2012,3,1,6,0,6,0,1,30,32.64,0.53,0.18,2657,4801,7458
541,24/06/2012,3,1,6,0,0,0,1,30.48,33.71,0.48,0.15,2551,4340,6891
542,25/06/2012,3,1,6,0,1,1,1,29.35,32.7,0.5,0.3,1139,5640,6779
543,26/06/2012,3,1,6,0,2,1,1,25.86,29.74,0.37,0.35,1077,6365,7442
544,27/06/2012,3,1,6,0,3,1,1,28.6,32.04,0.36,0.27,1077,6258,7335
545,28/06/2012,3,1,6,0,4,1,1,30.72,33.78,0.42,0.17,921,5958,6879
546,29/06/2012,3,1,6,0,5,1,1,34.2,39.33,0.49,0.17,829,4634,5463
547,30/06/2012,3,1,6,0,6,0,1,31.36,34.38,0.6,0.16,1455,4232,5687
548,01/07/2012,3,1,7,0,0,0,1,33.45,37.53,0.52,0.17,1421,4110,5531
549,02/07/2012,3,1,7,0,1,1,1,32.05,35.1,0.45,0.2,904,5323,6227
550,03/07/2012,3,1,7,0,2,1,1,32.01,35.13,0.49,0.13,1052,5608,6660
551,04/07/2012,3,1,7,1,3,0,1,32.36,36.62,0.54,0.13,2562,4841,7403
552,05/07/2012,3,1,7,0,4,1,1,33.93,38.07,0.46,0.19,1405,4836,6241
553,06/07/2012,3,1,7,0,5,1,1,33.96,37.63,0.45,0.15,1366,4841,6207
554,07/07/2012,3,1,7,0,6,0,1,35.33,40.25,0.49,0.16,1448,3392,4840
555,08/07/2012,3,1,7,0,0,0,1,33.72,39.52,0.57,0.13,1203,3469,4672
556,09/07/2012,3,1,7,0,1,1,2,29.14,32.7,0.68,0.18,998,5571,6569
557,10/07/2012,3,1,7,0,2,1,2,29.55,33.24,0.67,0.15,954,5336,6290
558,11/07/2012,3,1,7,0,3,1,1,29.38,32.51,0.63,0.15,975,6289,7264
559,12/07/2012,3,1,7,0,4,1,1,29.35,32.73,0.53,0.15,1032,6414,7446
560,13/07/2012,3,1,7,0,5,1,2,30,33.4,0.49,0.08,1511,5988,7499
561,14/07/2012,3,1,7,0,6,0,2,28.84,33.3,0.7,0.14,2355,4614,6969
562,15/07/2012,3,1,7,0,0,0,1,30.58,35.26,0.72,0.17,1920,4111,6031
563,16/07/2012,3,1,7,0,1,1,1,31.3,36.21,0.64,0.16,1088,5742,6830
564,17/07/2012,3,1,7,0,2,1,1,33.55,37.78,0.51,0.11,921,5865,6786
565,18/07/2012,3,1,7,0,3,1,1,32.53,37.28,0.58,0.14,799,4914,5713
566,19/07/2012,3,1,7,0,4,1,1,31.57,35.73,0.6,0.17,888,5703,6591
567,20/07/2012,3,1,7,0,5,1,2,27.3,30.65,0.84,0.21,747,5123,5870
568,21/07/2012,3,1,7,0,6,0,3,24.43,27.5,0.87,0.21,1264,3195,4459
569,22/07/2012,3,1,7,0,0,0,2,27.37,31.16,0.76,0.09,2544,4866,7410
570,23/07/2012,3,1,7,0,1,1,1,30.41,34.5,0.69,0.14,1135,5831,6966
571,24/07/2012,3,1,7,0,2,1,1,30.78,35.32,0.66,0.21,1140,6452,7592
572,25/07/2012,3,1,7,0,3,1,1,29.69,32.7,0.45,0.16,1383,6790,8173
573,26/07/2012,3,1,7,0,4,1,1,31.84,36.96,0.6,0.28,1036,5825,6861
574,27/07/2012,3,1,7,0,5,1,1,32.05,36.71,0.59,0.15,1259,5645,6904
575,28/07/2012,3,1,7,0,6,0,1,30.99,34.88,0.61,0.16,2234,4451,6685
576,29/07/2012,3,1,7,0,0,0,1,29.59,33.4,0.62,0.17,2153,4444,6597
577,30/07/2012,3,1,7,0,1,1,1,29.96,34.25,0.67,0.15,1040,6065,7105
578,31/07/2012,3,1,7,0,2,1,1,29.25,33.14,0.7,0.17,968,6248,7216
579,01/08/2012,3,1,8,0,3,1,1,29.42,33.37,0.68,0.14,1074,6506,7580
580,02/08/2012,3,1,8,0,4,1,1,30.85,35.35,0.66,0.13,983,6278,7261
581,03/08/2012,3,1,8,0,5,1,2,31.4,36.14,0.64,0.22,1328,5847,7175
582,04/08/2012,3,1,8,0,6,0,1,32.53,37.56,0.61,0.26,2345,4479,6824
583,05/08/2012,3,1,8,0,0,0,1,31.54,36.55,0.65,0.29,1707,3757,5464
584,06/08/2012,3,1,8,0,1,1,2,30.85,35.51,0.65,0.13,1233,5780,7013
585,07/08/2012,3,1,8,0,2,1,2,30.17,34.88,0.7,0.12,1278,5995,7273
586,08/08/2012,3,1,8,0,3,1,2,30.75,35.39,0.67,0.11,1263,6271,7534
587,09/08/2012,3,1,8,0,4,1,1,30.99,34.98,0.62,0.16,1196,6090,7286
588,10/08/2012,3,1,8,0,5,1,2,29.35,33.4,0.72,0.24,1065,4721,5786
589,11/08/2012,3,1,8,0,6,0,2,28.39,31.91,0.73,0.21,2247,4052,6299
